Listing...
kismet-capture-linux-wifi/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-nrf-51822/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-nrf-52840/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-nrf-mousejack/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-nxp-kw41z/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-rz-killerbee/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-ti-cc-2531/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-ti-cc-2540/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-ubertooth-one/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-core/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-logtools/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
krb5-locales/kali-rolling 1.22.1-2 all [upgradable from: 1.21.3-5]
krb5-multidev/kali-rolling 1.22.1-2 arm64 [upgradable from: 1.21.3-5]
layer-shell-qt/kali-rolling 6.5.3-1 arm64 [upgradable from: 6.3.4-1]
libaccountsservice0/kali-rolling 23.13.9-8 arm64 [upgradable from: 23.13.9-7]
libafflib0t64/kali-rolling 3.7.22-1 arm64 [upgradable from: 3.7.21-1]
libaom3/kali-rolling 3.13.1-2 arm64 [upgradable from: 3.12.1-1]
libapr1t64/kali-rolling 1.7.6-3 arm64 [upgradable from: 1.7.5-1]
libaprutil1-dbd-sqlite3/kali-rolling 1.6.3-4 arm64 [upgradable from: 1.6.3-3+b1]
libaprutil1-ldap/kali-rolling 1.6.3-4 arm64 [upgradable from: 1.6.3-3+b1]
libaprutil1t64/kali-rolling 1.6.3-4 arm64 [upgradable from: 1.6.3-3+b1]
libapt-pkg7.0/kali-rolling 3.1.12+kali1 arm64 [upgradable from: 3.1.4+kali1]
libasan8/kali-rolling 15.2.0-7 arm64 [upgradable from: 15.2.0-1]
libasound2-data/kali-rolling 1.2.14-2 all [upgradable from: 1.2.14-1]
libasound2t64/kali-rolling 1.2.14-2 arm64 [upgradable from: 1.2.14-1]
libaspell15/kali-rolling 0.60.8.1-6 arm64 [upgradable from: 0.60.8.1-4]
libasyncns0/kali-rolling 0.8-7 arm64 [upgradable from: 0.8-6+b5]
libatk-bridge2.0-0t64/kali-rolling 2.58.1-1 arm64 [upgradable from: 2.57.1-1]
libatk-wrapper-java-jni/kali-rolling 0.44.0-1 arm64 [upgradable from: 0.42.1-1]
libatk-wrapper-java/kali-rolling 0.44.0-1 all [upgradable from: 0.42.1-1]
libatk1.0-0t64/kali-rolling 2.58.1-1 arm64 [upgradable from: 2.57.1-1]
libatomic1/kali-rolling 15.2.0-7 arm64 [upgradable from: 15.2.0-1]
libatrildocument3t64/kali-rolling 1.28.2-1 arm64 [upgradable from: 1.26.2-5+b1]
libatrilview3t64/kali-rolling 1.28.2-1 arm64 [upgradable from: 1.26.2-5+b1]
libatspi2.0-0t64/kali-rolling 2.58.1-1 arm64 [upgradable from: 2.57.1-1]
libavahi-client3/kali-rolling 0.8-17 arm64 [upgradable from: 0.8-16]
libavahi-common-data/kali-rolling 0.8-17 arm64 [upgradable from: 0.8-16]
libavahi-common3/kali-rolling 0.8-17 arm64 [upgradable from: 0.8-16]
libavahi-core7/kali-rolling 0.8-17 arm64 [upgradable from: 0.8-16]
libavahi-glib1/kali-rolling 0.8-17 arm64 [upgradable from: 0.8-16]
libavcodec61/kali-rolling 7:7.1.2-1+b1 arm64 [upgradable from: 7:7.1.1-1+b5]
libavfilter10/kali-rolling 7:7.1.2-1+b1 arm64 [upgradable from: 7:7.1.1-1+b5]
libavformat61/kali-rolling 7:7.1.2-1+b1 arm64 [upgradable from: 7:7.1.1-1+b5]
libavif16/kali-rolling 1.3.0-1+b1 arm64 [upgradable from: 1.3.0-1]
libavutil59/kali-rolling 7:7.1.2-1+b1 arm64 [upgradable from: 7:7.1.1-1+b5]
libayatana-indicator3-7/kali-rolling 0.9.4-2 arm64 [upgradable from: 0.9.4-1+b1]
libbinutils/kali-rolling 2.45-8 arm64 [upgradable from: 2.45-4]
libbit-vector-perl/kali-rolling 7.4-4 arm64 [upgradable from: 7.4-3+b3]
libblas3/kali-rolling 3.12.1-7 arm64 [upgradable from: 3.12.1-6]
libblkid1/kali-rolling 2.41.2-4 arm64 [upgradable from: 2.41.1-1]
libblockdev-crypto3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-fs3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-loop3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-mdraid3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-nvme3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-part3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-smart3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-swap3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev-utils3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblockdev3/kali-rolling 3.4.0-1 arm64 [upgradable from: 3.3.1-3]
libblosc1/kali-rolling 1.21.5+ds-2 arm64 [upgradable from: 1.21.5+ds-1+b2]
libblosc2-4/kali-rolling 2.17.1+ds-2 arm64 [upgradable from: 2.17.1+ds-1]
libbluetooth3/kali-rolling 5.84-1 arm64 [upgradable from: 5.82-1.1]
libbrlapi0.8/kali-rolling 6.8-4 arm64 [upgradable from: 6.8-2]
libbtbb1/kali-rolling 2018.12.R1-1.1 arm64 [upgradable from: 2018.12.R1-1+b2]
libcaca0/kali-rolling 0.99.beta20-6 arm64 [upgradable from: 0.99.beta20-5]
libcaja-extension1/kali-rolling 1.26.4-2 arm64 [upgradable from: 1.26.4-1+b1]
libcamel-1.2-64t64/kali-rolling 3.56.2-4 arm64 [upgradable from: 3.56.2-3]
libcbor0.10/kali-rolling 0.10.2-2.1 arm64 [upgradable from: 0.10.2-2]
libcc1-0/kali-rolling 15.2.0-7 arm64 [upgradable from: 15.2.0-1]
libccid/kali-rolling 1.7.0-1 arm64 [upgradable from: 1.6.2-1]
libcfitsio10t64/kali-rolling 4.6.3-1 arm64 [upgradable from: 4.6.2-2]
libcgi-pm-perl/kali-rolling 4.71-1 all [upgradable from: 4.68-1]
libcharon-extauth-plugins/kali-rolling 6.0.3-1 arm64 [upgradable from: 6.0.2-1]
libchromaprint1/kali-rolling 1.6.0-2 arm64 [upgradable from: 1.5.1-7]
libcjson1/kali-rolling 1.7.18-4 arm64 [upgradable from: 1.7.18-3.1]
libclang-common-18-dev/kali-rolling 1:18.1.8-20 arm64 [upgradable from: 1:18.1.8-18+b2]
libclang-common-19-dev/kali-rolling 1:19.1.7-10.1 arm64 [upgradable from: 1:19.1.7-3+b2]
libclang-cpp18/kali-rolling 1:18.1.8-20 arm64 [upgradable from: 1:18.1.8-18+b2]
libclang-cpp19/kali-rolling 1:19.1.7-10.1 arm64 [upgradable from: 1:19.1.7-3+b2]
libclang-rt-18-dev/kali-rolling 1:18.1.8-20 arm64 [upgradable from: 1:18.1.8-18+b2]
libclang-rt-19-dev/kali-rolling 1:19.1.7-10.1 arm64 [upgradable from: 1:19.1.7-3+b2]
libclang1-18/kali-rolling 1:18.1.8-20 arm64 [upgradable from: 1:18.1.8-18+b2]
libclang1-19/kali-rolling 1:19.1.7-10.1 arm64 [upgradable from: 1:19.1.7-3+b2]
libcli1.10t64/kali-rolling 1.10.7-3 arm64 [upgradable from: 1.10.7-2]
libcloudproviders0/kali-rolling 0.3.6-3 arm64 [upgradable from: 0.3.6-2]
libcodec2-1.2/kali-rolling 1.2.0-4 arm64 [upgradable from: 1.2.0-3]
libcolord2/kali-rolling 1.4.8-2 arm64 [upgradable from: 1.4.7-3]
libcolorhug2/kali-rolling 1.4.8-2 arm64 [upgradable from: 1.4.7-3]
libcompress-raw-lzma-perl/kali-rolling 2.214-1 arm64 [upgradable from: 2.213-1+b1]
libconfig-inifiles-perl/kali-rolling 3.000003-4 all [upgradable from: 3.000003-3]
libcpuinfo0/kali-rolling 0.0~git20250905.877328f-1 arm64 [upgradable from: 0.0~git20250327.39ea79a-1]
libcrypt-dev/kali-rolling 1:4.5.1-1 arm64 [upgradable from: 1:4.4.38-1]
libcrypt1/kali-rolling 1:4.5.1-1 arm64 [upgradable from: 1:4.4.38-1]
libct4/kali-rolling 1.5.5+ds-1 arm64 [upgradable from: 1.5.4+ds-1]
libctf-nobfd0/kali-rolling 2.45-8 arm64 [upgradable from: 2.45-4]
libctf0/kali-rolling 2.45-8 arm64 [upgradable from: 2.45-4]
